epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5321,1.41992,3.06154,3.38578,1.2061,0.02801,0.54446,0.20489,0.10558,0.02509,0.40272,0.13479,0.04824,0.70567,1.91771,3.52979,0.936,8.335e-05,8.335e-05,8.335e-05
2,98.0424,1.12303,2.47979,2.91304,1.07268,0.08683,0.83017,0.26208,0.16529,0.08318,0.68843,0.21053,0.11723,0.83819,1.68599,3.25662,0.93428,0.000176109,0.000176109,0.000176109
3,135.225,1.02383,2.07314,1.88593,1.03206,0.08976,0.84153,0.52023,0.3189,0.08698,0.70502,0.40415,0.25116,0.90269,1.77553,2.8634,0.95993,0.000260946,0.000260946,0.000260946
4,181.602,0.97165,1.95236,1.37334,0.9948,0.79986,0.23505,0.54355,0.34148,0.76885,0.25293,0.45893,0.27429,0.91557,2.02629,2.51277,0.98215,0.000337861,0.000337861,0.000337861
5,222.622,0.93013,1.8806,1.1765,0.97431,1,0.24278,0.54493,0.34825,1,0.22934,0.46156,0.27272,0.94433,1.75812,2.52958,0.99153,0.000406855,0.000406855,0.000406855
6,268.051,0.88507,1.75391,1.07554,0.96072,0.89784,0.21174,0.5823,0.35847,0.52104,0.43881,0.43762,0.2386,0.85551,1.84162,2.52081,0.98002,0.000467927,0.000467927,0.000467927
7,309.888,0.89216,1.73981,1.02286,0.95507,0.53307,0.36189,0.58915,0.37859,0.46134,0.28354,0.49713,0.25599,0.88058,1.99958,2.36952,0.98368,0.000521078,0.000521078,0.000521078
8,362.345,0.87038,1.64364,0.95455,0.95949,0.42586,0.16608,0.36466,0.25287,0.4138,0.14883,0.29916,0.16737,0.83512,2.04338,2.36822,0.99188,0.000566307,0.000566307,0.000566307
9,417.846,0.85462,1.67748,0.89526,0.93255,0.12004,0.31087,0.25868,0.19251,0.10801,0.28042,0.2376,0.14385,0.90397,2.2443,2.29487,1.02021,0.000603614,0.000603614,0.000603614
10,469.576,0.84598,1.59792,0.88721,0.94039,0.63032,0.27373,0.38128,0.27704,0.6268,0.27487,0.35485,0.20413,0.899,2.19663,2.17105,1.02791,0.000633,0.000633,0.000633
11,517.568,0.85306,1.70911,0.86072,0.94048,0.5992,0.27952,0.35482,0.26808,0.57657,0.25321,0.34031,0.20384,0.81819,2.16238,2.15252,0.96698,0.000654464,0.000654464,0.000654464
12,560.801,0.84107,1.71401,0.88168,0.96176,0.56277,0.26216,0.34965,0.27096,0.56277,0.26216,0.33137,0.20734,0.82566,1.89703,2.21409,0.96005,0.000668007,0.000668007,0.000668007
13,612.978,0.8441,1.76402,0.85767,0.94972,0.59913,0.26899,0.38019,0.2924,0.59913,0.26899,0.37024,0.23172,0.85655,1.96805,2.17536,0.9692,0.000673628,0.000673628,0.000673628
14,651.883,0.83516,1.69976,0.82978,0.94562,0.67384,0.34295,0.3881,0.28857,0.67029,0.34121,0.37175,0.21408,0.86115,1.92615,2.01434,0.96895,0.000671328,0.000671328,0.000671328
15,704.589,0.85929,1.84225,0.83162,0.94136,0.6207,0.36437,0.39932,0.30644,0.606,0.36357,0.38256,0.22675,0.84005,1.81676,1.88342,0.95764,0.000661106,0.000661106,0.000661106
16,784.226,0.82295,1.45363,0.82087,0.90523,0.45556,0.2501,0.27911,0.21982,0.4509,0.2441,0.26204,0.1745,0.79541,1.81896,1.81503,0.94078,0.000642962,0.000642962,0.000642962
17,834.424,0.79793,1.39198,0.79647,0.91035,0.52811,0.3639,0.37382,0.29331,0.5069,0.34042,0.35703,0.23244,0.78487,1.87192,1.7996,0.93986,0.000610789,0.000610789,0.000610789
18,875.243,0.80351,1.38269,0.75673,0.89364,0.53148,0.35436,0.35649,0.27165,0.52248,0.34913,0.34299,0.2037,0.8408,1.8878,1.65449,0.95767,0.000544776,0.000544776,0.000544776
19,914.636,0.81857,1.45216,0.77503,0.8979,0.49662,0.2708,0.29386,0.23288,0.50546,0.26426,0.28554,0.17852,0.79981,1.8106,1.54691,0.94378,0.000478762,0.000478762,0.000478762
20,958.499,0.81333,1.48697,0.74443,0.8965,0.48593,0.27254,0.28729,0.2336,0.49168,0.26646,0.27789,0.18242,0.73068,1.75064,1.39191,0.91724,0.000412749,0.000412749,0.000412749
21,996.958,0.77183,1.40766,0.7686,0.8856,0.54557,0.26044,0.28836,0.23444,0.46858,0.27429,0.27875,0.18169,0.72993,1.7488,1.34204,0.91861,0.000346736,0.000346736,0.000346736
22,1039.12,0.76488,1.44092,0.75334,0.88895,0.50659,0.2787,0.29131,0.23881,0.57763,0.25512,0.28798,0.18468,0.7676,1.82753,1.29707,0.93246,0.000280723,0.000280723,0.000280723
23,1079.98,0.76014,1.37539,0.71898,0.88601,0.69586,0.35608,0.40203,0.3161,0.56952,0.39784,0.38798,0.24467,0.77647,1.82638,1.2734,0.93815,0.00021471,0.00021471,0.00021471
24,1117.83,0.74849,1.41327,0.73719,0.90685,0.56059,0.23861,0.28182,0.2336,0.49428,0.23855,0.27266,0.18222,0.74384,1.86687,1.20498,0.93762,0.000148696,0.000148696,0.000148696
25,1155.65,0.72812,1.30111,0.69176,0.89593,0.57565,0.28125,0.3013,0.24817,0.62666,0.26868,0.29718,0.18959,0.73518,1.86534,1.17713,0.93451,8.26832e-05,8.26832e-05,8.26832e-05
